path	line	fn
gatk-core/src/io/vcf.rs	1020	read_next_record
gatk-core/src/io/vcf.rs	1026	default
gatk-core/src/io/vcf.rs	1042	fmt
gatk-core/src/io/vcf.rs	1058	is_snp
gatk-core/src/io/vcf.rs	1065	is_insertion
gatk-core/src/io/vcf.rs	1072	is_deletion
gatk-core/src/io/vcf.rs	1079	is_indel
gatk-core/src/io/vcf.rs	1084	variant_type
gatk-core/src/io/vcf.rs	1099	allele_count
gatk-core/src/io/vcf.rs	1104	is_filtered
gatk-core/src/io/vcf.rs	1109	get_af
gatk-core/src/io/vcf.rs	1117	get_ad
gatk-core/src/io/vcf.rs	1122	get_gq
gatk-core/src/io/vcf.rs	1127	get_dp
gatk-core/src/io/vcf.rs	1132	get_gt
gatk-core/src/io/vcf.rs	1146	from_file_reads_gzipped_vcf
gatk-core/src/lib.rs	32	test_basic_functionality
gatk-core/src/memory.rs	21	open
gatk-core/src/memory.rs	35	slice
gatk-core/src/memory.rs	44	as_bytes
gatk-core/src/memory.rs	49	len
gatk-core/src/memory.rs	54	is_empty
gatk-core/src/reference.rs	72	new
gatk-core/src/reference.rs	76	add_contig
gatk-core/src/reference.rs	92	from_fasta_path
gatk-core/src/reference.rs	108	try_from_fai_beside
gatk-core/src/reference.rs	136	contig_count
gatk-core/src/reference.rs	140	contig_names
gatk-core/src/reference.rs	145	contig_records
gatk-core/src/reference.rs	150	whole_genome_interval_specs
gatk-core/src/reference.rs	162	contig
gatk-core/src/reference.rs	177	validate_interval
gatk-core/src/reference.rs	205	validate_vcf_header
gatk-core/src/reference.rs	225	validate_bam_header
gatk-core/src/reference.rs	243	validate_sam_header
gatk-core/src/reference.rs	263	parse
gatk-core/src/reference.rs	303	parse_list
gatk-core/src/reference.rs	317	parse_include_exclude_list
gatk-core/src/reference.rs	343	parse_list_file
gatk-core/src/reference.rs	384	parse_list_file_with_dictionary
gatk-core/src/reference.rs	529	resolve_closed_ends
gatk-core/src/reference.rs	554	merge_closed_intervals
gatk-core/src/reference.rs	573	subtract_one_closed_segment
gatk-core/src/reference.rs	600	resolve_interval_specs_includes_excludes
gatk-core/src/reference.rs	663	uppercase_acgtn
gatk-core/src/reference.rs	690	load_beside_fasta
gatk-core/src/reference.rs	727	entry_for_query
gatk-core/src/reference.rs	738	read_interval_via_samtools_fai
gatk-core/src/reference.rs	790	read_contig_bases_sequential
gatk-core/src/reference.rs	802	load_contig_bases
gatk-core/src/reference.rs	817	global_contig_arc_cache
gatk-core/src/reference.rs	822	shared_contig_bases
gatk-core/src/reference.rs	845	read_fasta_interval_bytes
gatk-core/src/reference.rs	873	count_acgtn_histogram_for_interval_specs
gatk-core/src/reference.rs	927	new
gatk-core/src/reference.rs	938	get_interval_bytes
gatk-core/src/reference.rs	1005	cached_windows
gatk-core/src/reference.rs	1011	parse_intervals_cli_string
gatk-core/src/reference.rs	1045	intervals_for_haplotype_caller
gatk-core/src/reference.rs	1055	contig_name_matches_fasta_entry
gatk-core/src/reference.rs	1066	reference_base_at_1based
gatk-core/src/reference.rs	1083	parses_interval_with_range
gatk-core/src/reference.rs	1091	parses_whole_contig_interval
gatk-core/src/reference.rs	1099	validates_alias_contig_names
gatk-core/src/reference.rs	1108	parses_interval_list
